交易序号,交易时间,交易网点,操作员编号,客户id,客户名称,交易金额
a51f4312-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:36:13,QLR,op4,cu3,王五,26000
a51f45e2-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:16:30,QLR,op5,cu2,李四,56000
a51f47f4-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:28:21,CQR,op6,cu1,张三,2000
a51f49f2-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:52:07,JHR,op3,cu3,王五,84000
a51f4c4a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:58:19,JHR,op2,cu3,王五,94000
a51f4e48-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:34:04,CQR,op6,cu3,王五,80000
a51f503c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:09:35,QLR,op1,cu2,李四,77000
a51f5230-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:59:06,QLR,op2,cu1,张三,32000
a51f541a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:08:34,QLR,op4,cu3,王五,74000
a51f560e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:21:00,JHR,op4,cu1,张三,87000
a51f5802-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:03:42,QLR,op1,cu3,王五,68000
a51f59f6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:51:14,JHR,op4,cu1,张三,21000
a51f5c6c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:35:12,QLR,op3,cu1,张三,95000
a51f60b8-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:14,JHR,op6,cu1,张三,10000
a51f63a6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:12:50,CQR,op3,cu2,李四,74000
a51f65d6-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:20,CQR,op1,cu3,王五,36000
a51f67de-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:03:21,CQR,op5,cu2,李四,16000
a51f69dc-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:33:22,JHR,op3,cu2,李四,92000
a51f6bda-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:00:51,CQR,op4,cu2,李四,9000
a51f6dec-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:25:54,CQR,op5,cu1,张三,31000
a51f6fe0-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:08:51,CQR,op5,cu1,张三,30000
a51f7292-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:07:31,JHR,op3,cu1,张三,78000
a51f747c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:17:33,JHR,op3,cu2,李四,11000
a51f765c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:15:12,JHR,op4,cu1,张三,17000
a51f7846-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:22:48,QLR,op6,cu2,李四,47000
a51f7a30-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:31:18,JHR,op3,cu3,王五,27000
a51f7c6a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:20:36,CQR,op6,cu2,李四,4000
a51f7e72-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:18:55,JHR,op4,cu2,李四,31000
a51f807a-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:43:02,JHR,op4,cu3,王五,95000
a51f8282-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:02:02,QLR,op3,cu3,王五,94000
a51f8480-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:14:27,JHR,op2,cu3,王五,30000
a51f8688-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:36:30,JHR,op4,cu2,李四,15000
a51f8886-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:25:46,QLR,op4,cu3,王五,57000
a51f8a84-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:03:30,QLR,op4,cu1,张三,72000
a51f8c82-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:00:23,QLR,op3,cu2,李四,33000
a51f8e80-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:09:55,QLR,op5,cu3,王五,6000
a51f907e-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:03:54,JHR,op4,cu1,张三,81000
a51f927c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:38:48,QLR,op4,cu1,张三,36000
a51f9470-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:35:32,CQR,op2,cu2,李四,38000
a51f9678-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:59:15,QLR,op1,cu1,张三,81000
a51f9876-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:23:43,JHR,op3,cu3,王五,9000
a51f9a74-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:07:58,JHR,op6,cu3,王五,26000
a51f9c7c-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:44:43,CQR,op4,cu2,李四,47000
a51f9e84-bde2-11e9-a2a0-acbc328b17af,2019-08-12 10:31:08,QLR,op6,cu3,王五,4000
